[1461172270] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 315.908ms, lost 0%
[1461172296] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.881ms, lost 0%
[1461172296] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.881ms, lost 0%
[1461186980] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461186980] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461187044] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 264.161ms, lost 20%
[1461187044] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 264.161ms, lost 20%
[1461189975] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461189975] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461190100] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.391ms, lost 0%
[1461190100] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.391ms, lost 0%
[1461190116] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.487ms, lost 0%
[1461190116] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.487ms, lost 0%
[1461192339] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461192339] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461192343] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461192343] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461192421] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 315.948ms, lost 0%
[1461192421] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 315.948ms, lost 0%
[1461192456] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.982ms, lost 0%
[1461192456] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.982ms, lost 0%
[1461207639] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461207639] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;CRITICAL;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461207643] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461207643] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461207735] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.229ms, lost 0%
[1461207735] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.229ms, lost 0%
[1461207756] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.130ms, lost 0%
